grid_id,centroid_lat,centroid_lon,area_m2
G0258,28.766905098067397,77.28293170196554,250000.0
G0259,28.771414640727947,77.28302990313243,250000.0
G0260,28.77592418006959,77.28312812682202,250000.0
G0261,28.780433716091903,77.28322637303842,250000.0
G0262,28.784943248794534,77.28332464178573,250000.0
G0263,28.7894527781771,77.28342293306807,250000.0
G0264,28.793962304239216,77.28352124688952,250000.0
G0265,28.79847182698049,77.28361958325422,250000.0
G0266,28.802981346400543,77.28371794216626,250000.0
G0267,28.80749086249901,77.28381632362975,250000.0
G0268,28.81200037527549,77.2839147276488,250000.0
G0269,28.816509884729598,77.28401315422754,250000.0
G0270,28.821019390860982,77.28411160337008,250000.0
G0271,28.825528893669237,77.28421007508051,250000.0
G0272,28.82996467306823,77.2842309974893,240675.6847379326
G0273,28.832926547507856,77.28292393828534,33013.20790764186
G0274,28.70967161035762,77.2889814051118,13772.58703339235
G0275,28.713014988922033,77.28824596823608,108677.06751292878
G0276,28.715794634747564,77.28867047254144,34102.817281825985
G0277,28.72374757440037,77.28927327443263,3741.198657445422
G0278,28.726576300826167,77.28760615503126,192366.336572342
G0279,28.73074215164253,77.28726307938277,250000.0
G0280,28.735251704768114,77.28736131979521,250000.0
G0281,28.73976125457649,77.28745958274784,250000.0
G0282,28.74427080106727,77.28755786824475,250000.0
G0283,28.748780344240075,77.28765617629006,250000.0
G0284,28.753289884094514,77.28775450688786,250000.0
G0285,28.757799420630207,77.28785286004228,250000.0
G0286,28.76230895384678,77.28795123575739,250000.0
G0287,28.76681848374384,77.2880496340373,250000.0
G0288,28.77132801032101,77.28814805488618,250000.0
G0289,28.775837533577906,77.28824649830806,250000.0
G0290,28.780347053514145,77.2883449643071,250000.0
G0291,28.784856570129342,77.28844345288739,250000.0
G0292,28.789366083423122,77.28854196405305,250000.0
G0293,28.793875593395104,77.2886404978082,250000.0
G0294,28.798385100044893,77.28873905415696,250000.0
G0295,28.802894603372113,77.28883763310344,250000.0
G0296,28.807404103376395,77.28893623465174,250000.0
G0297,28.811913600057334,77.28903485880603,250000.0
G0298,28.816423093414564,77.2891335055704,250000.0
G0299,28.820932583447703,77.28923217494899,250000.0
G0300,28.825442070156363,77.28933086694589,250000.0
G0301,28.828918741052902,77.28884087983346,117210.79006564789
G0302,28.70550779421123,77.29371558477507,10283.493086480164
G0303,28.70833676889845,77.2921493018399,216196.87842841272
G0304,28.71261729136251,77.29198562034331,250000.0
G0305,28.71712642046788,77.29208447416217,249951.62359167094
G0306,28.721594976554627,77.29235517281968,231490.83286623133
G0307,28.7261459322735,77.29228079617151,250000.0
G0308,28.73065547260876,77.29237923327322,250000.0
G0309,28.73516500962583,77.29247769296127,250000.0
G0310,28.739674543324345,77.29257617523974,250000.0
G0311,28.744184073703913,77.29267468011278,250000.0
G0312,28.74869360076415,77.29277320758449,250000.0
G0313,28.753203124504683,77.29287175765896,250000.0
G0314,28.75771264492512,77.29297033034031,250000.0
G0315,28.762222162025076,77.29306892563268,250000.0
G0316,28.76673167580418,77.29316754354016,250000.0
G0317,28.771241186262035,77.29326618406688,250000.0
G0318,28.775750693398273,77.29336484721696,250000.0
G0319,28.78026019721249,77.29346353299452,250000.0
G0320,28.784769697704316,77.29356224140368,250000.0
G0321,28.789279194873384,77.29366097244856,250000.0
G0322,28.79378868871929,77.29375972613329,250000.0
G0323,28.79829817924165,77.29385850246197,250000.0
G0324,28.802807741473305,77.29395719759951,249989.67106395419
G0325,28.80731715031424,77.29405612306779,250000.0
G0326,28.810977567963683,77.29365809043871,139879.71760315268
G0327,28.816577702743896,77.29209512604665,37541.85825319434
G0328,28.820803391280624,77.2923798078581,55990.526975611625
G0329,28.82557831600463,77.29231650692729,39830.47104092369
G0330,28.827879318862355,77.29229112573414,3899.307505129732
G0331,28.70499578375098,77.29601511627011,49724.524568460176
G0332,28.70818660338553,77.29647128676424,194815.83412933705
G0333,28.71253048356722,77.29710087506372,250000.0
G0334,28.717040017715693,77.29719946350167,250000.0
G0335,28.721549548545788,77.29729807456383,250000.0
G0336,28.726059076057123,77.29739670825435,250000.0
G0337,28.730568600249317,77.29749536457733,250000.0
G0338,28.73507812112197,77.29759404353688,250000.0
G0339,28.73958763867472,77.29769274513711,250000.0
G0340,28.744097152907173,77.29779146938216,250000.0
G0341,28.74860666381894,77.29789021627613,250000.0
G0342,28.75311617140965,77.29798898582317,250000.0
G0343,28.757625675678916,77.29808777802735,250000.0
G0344,28.762135176626334,77.29818659289285,250000.0
G0345,28.76664467425156,77.29828543042377,250000.0
G0346,28.77115416855417,77.29838429062426,250000.0
G0347,28.77566365953382,77.29848317349838,250000.0
G0348,28.780173147190087,77.29858207905035,250000.0
G0349,28.784682631522617,77.29868100728424,250000.0
G0350,28.789192112531023,77.29877995820422,250000.0
G0351,28.793644943275964,77.29880435115761,241979.90012990817
G0352,28.79762548209147,77.29769849617786,102344.38520396805
G0353,28.803579954693106,77.29711013757513,39779.084799656484
G0354,28.807472528467027,77.29778076207097,109222.15572345126
G0355,28.809918110211285,77.29741813051669,14581.366749874713
G0356,28.710158468864233,77.29978588005704,615.081436494954
G0357,28.712809855930654,77.30199870346044,205011.79117336968
G0358,28.71695300056654,77.30231491466843,250000.0
G0359,28.72146251522038,77.30241374484731,250000.0
G0360,28.72597202655411,77.30251259770475,250000.0
G0361,28.730481534567346,77.30261147324488,250000.0
G0362,28.734991039259683,77.3027103714718,250000.0
G0363,28.739500540630768,77.30280929238968,250000.0
G0364,28.744010038680187,77.30290823600261,250000.0
G0365,28.748519533407578,77.30300720231473,250000.0
G0366,28.753029024812548,77.30310619133019,250000.0
G0367,28.757538512894723,77.3032052030531,250000.0
G0368,28.762047997653696,77.30330423748761,250000.0
G0369,28.766557479089112,77.30340329463785,250000.0
G0370,28.771066957200567,77.30350237450793,250000.0
G0371,28.775576431987687,77.303601477102,250000.0
G0372,28.780085903450082,77.30370060242423,250000.0
G0373,28.784595371587375,77.30379975047875,250000.0
G0374,28.78904657109935,77.30387411082783,242923.1551640757
G0375,28.792532490143696,77.30239145580852,47259.39950299338
G0376,28.713464777255215,77.30716804178644,125425.76616990846
G0377,28.71686579020569,77.30743034316077,250000.0
