grid_id,centroid_lat,centroid_lon,ndvi,ndbi,lst_celsius
G0885,28.652404587493105,77.38272878197667,0.25505593,-0.0015544983,46.169952
G0886,28.6569138851957,77.38283078915683,0.43471313,-0.10773783,47.36624
G0887,28.661423179561595,77.38293281975925,0.29504064,-0.042193227,45.01123
G0888,28.66593247059038,77.3830348737882,0.26673812,-0.06171662,45.035156
G0889,28.67044175828168,77.38313695124795,0.19466051,-0.00853192,45.80423
G0890,28.674951042635094,77.3832390521427,0.29544312,-0.024519812,50.897064
G0891,28.67946032365024,77.38334117647672,0.1836938,-0.010810454,48.46344
G0892,28.683969601326726,77.38344332425427,0.18167563,-0.0037253203,46.34427
G0893,28.688478875664156,77.38354549547964,0.18335256,0.0027052937,47.024445
G0894,28.69298814666213,77.38364769015703,0.57590556,-0.22644578,39.84659
G0895,28.69749741432028,77.38374990829075,0.54074186,-0.16714917,40.947205
G0896,28.7020066786382,77.38385214988504,0.46275923,-0.14803147,41.548798
G0897,28.7065159396155,77.38395441494416,0.4441949,-0.0791494,42.46823
G0898,28.711025197251807,77.38405670347237,0.6441626,-0.21603389,40.547302
G0899,28.71553445154671,77.38415901547394,0.3453003,-0.05503989,41.299255
G0900,28.72004370249982,77.38426135095312,0.5602841,-0.21606402,41.336884
G0901,28.72455295011075,77.38436370991423,0.56541675,-0.22569539,42.861298
G0902,28.72906219437913,77.38446609236148,0.6339668,-0.24606563,39.94229
G0903,28.733571435304533,77.38456849829919,0.5505256,-0.16919066,39.412506
G0904,28.7380806728866,77.38467092773159,0.6237079,-0.22295074,38.199127
G0905,28.742589907124927,77.38477338066298,0.39350757,-0.026495349,42.950165
G0906,28.747099138019124,77.38487585709761,0.6258231,-0.25731596,43.097137
G0907,28.75160836556881,77.38497835703978,0.38415727,-0.043050293,45.807648
G0908,28.756117589773588,77.38508088049379,0.6202584,-0.22011277,43.30905
G0909,28.76062681063306,77.38518342746386,0.47342864,-0.16852638,46.10843
G0910,28.76513602814685,77.38528599795431,0.33118275,-0.04358035,43.032196
G0911,28.76964524231456,77.38538859196942,0.2839975,0.036762744,42.710907
G0912,28.77415445313581,77.38549120951346,0.4503501,-0.09309942,41.84616
G0913,28.77842543623417,77.38550395194308,0.5046755,-0.13258943,45.2334
G0914,28.63501775632737,77.38728085644077,0.43748826,-0.04659907,44.259247
G0915,28.6387866582065,77.38753424370093,0.17358121,0.032707818,43.644012
G0916,28.6432959491544,77.38763639883318,0.22850022,-0.013921599,46.163116
G0917,28.64780523676536,77.38773857742501,0.26306418,0.03191104,45.708527
G0918,28.652314521039,77.38784077948068,0.17374226,0.0179257,45.462433
G0919,28.656823801974923,77.38794300500442,0.47400686,-0.124027945,44.358368
G0920,28.66133307957273,77.3880452540005,0.20455703,-0.18418509,42.09909
G0921,28.665842353832048,77.38814752647316,0.449091,-0.12216665,46.37845
G0922,28.670351624752467,77.38824982242672,0.2689049,-0.018746275,47.99173
G0923,28.67486089233361,77.38835214186538,0.20328341,0.041556038,47.06546
G0924,28.67937015657508,77.38845448479341,0.46217182,-0.15953475,45.790558
G0925,28.683879417476483,77.38855685121511,0.2456066,-0.0030166516,46.453644
G0926,28.68838867503743,77.38865924113473,0.49798405,-0.1429772,42.006805
G0927,28.69289792925753,77.38876165455652,0.43728024,-0.056935206,41.548798
G0928,28.69740718013639,77.38886409148476,0.3955474,-0.090432085,40.878845
G0929,28.70191642767363,77.38896655192373,0.6170268,-0.2422574,40.10977
G0930,28.706425671868843,77.3890690358777,0.5291771,-0.15809694,41.856415
G0931,28.710934912721655,77.38917154335091,0.29571322,0.03415657,47.58841
G0932,28.71544415023167,77.38927407434768,0.5423466,-0.21441044,38.838287
G0933,28.71995338439848,77.38937662887226,0.51340055,-0.1169768,42.53659
G0934,28.724462615221714,77.38947920692893,0.40392944,-0.21454607,39.12198
G0935,28.728971842700982,77.38958180852197,0.48249322,-0.10068511,44.44043
G0936,28.733481066835875,77.38968443365566,0.41377172,-0.07192055,42.601532
G0937,28.737990287626022,77.38978708233428,0.57694083,-0.15280035,42.170868
G0938,28.74249950507103,77.38988975456212,0.7283022,-0.35044116,36.51062
G0939,28.7470087191705,77.38999245034347,0.6390821,-0.24203888,38.6503
G0940,28.751517929924045,77.39009516968258,0.6389859,-0.23734288,41.71286
G0941,28.75602713733128,77.39019791258377,0.66479546,-0.23322292,39.28604
G0942,28.7605363413918,77.39030067905134,0.5245283,-0.10969893,45.000977
G0943,28.76504554210524,77.39040346908953,0.2721317,0.04650474,47.01761
G0944,28.76955473947118,77.39050628270269,0.32550326,-0.014721469,41.835907
G0945,28.77406393348925,77.39060911989506,0.2693871,0.05408526,42.205048
G0946,28.77763667898082,77.3903059816166,0.56452304,-0.22672433,41.907684
G0947,28.82513781138085,77.393697951995,0.31406778,-0.0075674895,49.047913
G0948,28.827817152549624,77.39280963541908,0.25393915,0.040939443,46.293
G0949,28.63558339969138,77.39208227465147,0.19014336,-0.0034596475,45.16162
G0950,28.638696449496297,77.3926455630192,0.25745806,-0.017487904,46.354523
G0951,28.64320572364588,77.39274793634064,0.30670348,0.012738297,45.7222
G0952,28.64771499445713,77.39285033317168,0.33869994,-0.018411573,44.38916
G0953,28.65222426192966,77.3929527535166,0.49669853,-0.12103235,42.464813
G0954,28.656733526063057,77.39305519737965,0.5663992,-0.2302635,40.376404
G0955,28.661242786856963,77.39315766476513,0.53870845,-0.15811889,44.01657
G0956,28.665752044310956,77.39326015567727,0.5299135,-0.15898314,47.106476
G0957,28.67026129842466,77.39336267012037,0.17564487,-0.002422409,44.553223
G0958,28.67477054919767,77.39346520809868,0.22342184,-0.027089853,45.65384
G0959,28.67927979662961,77.39356776961648,0.43583345,-0.08241957,44.074677
G0960,28.68378904072009,77.39367035467805,0.52163696,-0.15520753,40.960876
G0961,28.688298281468697,77.39377296328763,0.4901585,-0.13671182,41.196716
G0962,28.692807518875057,77.39387559544956,0.70073915,-0.3138199,40.810486
G0963,28.69731675293878,77.39397825116806,0.3818241,-0.032096457,41.876923
G0964,28.701825983659464,77.39408093044744,0.610701,-0.2830821,37.80948
G0965,28.706335211036723,77.39418363329197,0.45663172,-0.07892583,41.904266
G0966,28.71084443507017,77.39428635970592,0.44495332,-0.05446929,45.021484
G0967,28.71535365575941,77.3943891096936,0.4448766,-0.053035114,43.736298
G0968,28.71986287310405,77.39449188325929,0.41967863,-0.06930983,42.47165
G0969,28.7243720871037,77.39459468040725,0.45431572,-0.0760736,43.996063
G0970,28.72888129775797,77.3946975011418,0.46793005,-0.09103117,44.11911
G0971,28.733390505066478,77.3948003454672,0.674309,-0.30688512,40.933533
G0972,28.737899709028817,77.39490321338776,0.47448298,-0.09939579,42.65622
G0973,28.7424089096446,77.39500610490778,0.40520978,-0.05221551,46.02298
G0974,28.746918106913444,77.39510902003153,0.6168175,-0.23635617,39.47403
G0975,28.75142730083496,77.3952119587633,0.27106315,0.06566902,48.976135
G0976,28.75593649140875,77.39531492110741,0.49543527,-0.09577912,44.662598
G0977,28.76044567863442,77.39541790706815,0.4455764,-0.07095774,48.401886
G0978,28.764954862511583,77.39552091664982,0.22406656,0.09521,51.20468
G0979,28.769464043039854,77.39562394985671,0.43650872,-0.3049869,38.930573
G0980,28.773973220218835,77.39572700669314,0.4534587,-0.088391215,41.111267
G0981,28.777353274540637,77.3965092993784,0.34888124,-0.046997312,42.314423
G0982,28.802275764823968,77.39746341344193,0.4251349,-0.0439072,46.09134
G0983,28.805081227271117,77.39728760220129,0.3664243,0.010580412,45.876007
G0984,28.80866167911017,77.39865414890536,0.32447436,0.017197952,46.723663
G0985,28.823922502653964,77.39704116597602,0.49105063,-0.116826765,42.697235
G0986,28.82805345242725,77.39699387843967,0.4144336,-0.012899934,45.260742
G0987,28.83070444866216,77.39833281160948,0.3628054,0.01938043,44.25583
G0988,28.63572993498453,77.39857433318663,0.1486293,0.013795872,45.90677
G0989,28.63864019674582,77.39774924625263,0.43719995,-0.10691488,46.74417
G0990,28.64311530555705,77.39785945033847,0.28062704,0.024044814,46.12552
G0991,28.64762455953276,77.39796206540446,0.45338383,-0.124674186,43.961884
G0992,28.65213381016834,77.39806470403438,0.35910407,-0.040687058,44.20114
G0993,28.656643057463395,77.3981673662325,0.43135214,-0.0853841,45.284668
G0994,28.66115230141753,77.39827005200308,0.6470435,-0.2621125,39.535553
G0995,28.665661542030367,77.39837276135043,0.6338288,-0.3333674,41.183044
G0996,28.6701707793015,77.3984754942788,0.19477129,0.007428491,44.313934
G0997,28.674680013230557,77.3985782507925,0.5105647,-0.20371889,44.310516
G0998,28.679189243817103,77.39868103089577,0.19119573,-0.004563377,45.899933
G0999,28.6836984710608,77.39878383459292,0.29853666,0.041736674,44.512207
G1000,28.68820769496122,77.39888666188824,0.36303344,-0.08244108,44.546387
G1001,28.692716915517973,77.398989512786,0.6068421,-0.2485416,39.952545
G1002,28.697226132730687,77.39909238729048,0.62730455,-0.31456712,39.97647
G1003,28.70173534659896,77.399195285406,0.3015923,-0.06267846,45.80423
G1004,28.7062445571224,77.39929820713681,0.4353355,-0.117793515,43.22702
G1005,28.710753764300605,77.39940115248721,0.5017113,-0.11141219,43.066376
G1006,28.715262968133207,77.39950412146153,0.4239839,-0.012992149,42.04782
G1007,28.719772168619794,77.39960711406404,0.5611651,-0.11651658,40.311462
G1008,28.72428136575998,77.39971013029901,0.5258619,-0.18933374,42.584442
G1009,28.72879055955338,77.39981317017076,0.45131046,-0.1035034,43.182587
G1010,28.733299749999595,77.39991623368358,0.5985898,-0.20680098,41.986298
G1011,28.73780893709824,77.40001932084179,0.6527612,-0.24209225,43.41501
G1012,28.74231812084892,77.40012243164969,0.6993463,-0.29207832,40.458435
G1013,28.746827301251248,77.40022556611154,0.25602016,0.05004385,46.651886
G1014,28.75133647830482,77.4003287242317,0.42311335,-0.061251696,45.411163
G1015,28.75584565200927,77.40043190601443,0.3306555,-0.005905197,48.02591
G1016,28.760354822364175,77.40053511146405,0.27244085,0.07078731,47.742218
G1017,28.76486398936917,77.40063834058489,0.23135944,0.0869644,51.32431
G1018,28.769373153023853,77.40074159338123,0.4088053,-0.32516706,37.023315
G1019,28.77388231332784,77.4008448698574,0.53967446,-0.15378705,41.825653
G1020,28.778058616948996,77.401054995668,0.44778395,-0.07155736,42.60495
G1021,28.78068974652194,77.4034215609578,0.39821878,-0.034262154,44.08835
G1022,28.79358040889835,77.40359579189368,0.38668475,-0.029668696,42.844208
G1023,28.796682267360502,77.40317427373486,0.4335545,-0.07000452,43.39792
G1024,28.801093229719168,77.40162517878585,0.49608105,-0.09652958,41.35739
G1025,28.805446341603275,77.40156846858797,0.38119504,-0.0037620235,45.441925
G1026,28.80966163079877,77.40188228006217,0.55491644,-0.15178156,44.378906
G1027,28.81536212076301,77.403902341675,0.7748969,-0.4006225,38.6127
G1028,28.819183700060844,77.40275132068692,0.3894945,-0.0012167877,41.99997
G1029,28.823585187784506,77.40205185160687,0.5081698,-0.17850585,40.260162
G1030,28.82799197547877,77.40208603616857,0.30093142,0.04526837,45.61624
G1031,28.831994360695795,77.40284502837494,0.49876457,-0.13972189,45.04883
G1032,28.83539374972529,77.4039674035673,0.27060938,0.057241816,42.095673
G1033,28.850787613604894,77.40365844737897,0.27034658,0.06865633,45.065918
G1034,28.85455056900187,77.40407961570595,0.4026967,-0.10983718,41.54196
G1035,28.859736290655523,77.40513823572257,0.378226,-0.05486307,44.14987
G1036,28.862038007657304,77.40525737164322,0.42719615,-0.25711057,38.34268
G1037,28.874043956753876,77.4046991283897,0.3302029,-0.26243442,39.750885
G1038,28.876274153017583,77.40407036594529,0.4417305,-0.04516373,41.808563
G1039,28.63135651899081,77.4044407940004,0.17146486,0.0068528005,45.318848
G1040,28.634163881885424,77.40294387784027,0.12705357,0.020661721,45.21289
G1041,28.63851545444568,77.40286813108969,0.14795592,-0.031003037,46.67581
G1042,28.64302469489116,77.40297094077665,0.46124697,-0.15978695,42.751923
G1043,28.6475339319955,77.40307377407332,0.17422234,-0.074716225,43.247528
G1044,28.652043165758297,77.40317663098396,0.5573827,-0.20673044,41.692352
G1045,28.656552396179176,77.40327951151285,0.25197408,-0.042043433,42.123016
G1046,28.661061623257726,77.4033824156643,0.26612973,-0.057854608,43.606415
G1047,28.66557084699356,77.40348534344255,0.48017886,-0.16114281,41.6821
G1048,28.67008006738628,77.40358829485193,0.5987259,-0.24158444,41.1933
G1049,28.674589284435505,77.40369126989671,0.47333404,-0.19296035,41.801727
G1050,28.679098498140835,77.40379426858118,0.5868247,-0.27376437,39.74405
G1051,28.68360770850189,77.40389729090964,0.5830858,-0.2787366,41.86667
G1052,28.688116915518265,77.4040003368864,0.18937135,-0.013663061,43.98581
G1053,28.69262611918956,77.40410340651572,0.1821608,0.014286954,45.985382
G1054,28.697135319515404,77.40420649980189,0.47639742,-0.10954121,44.498535
G1055,28.701644516495392,77.40430961674923,0.50622755,-0.16124158,42.67331
G1056,28.706153710129144,77.40441275736205,0.5052457,-0.15511619,42.847626
G1057,28.71066290041625,77.40451592164463,0.42615503,-0.06382592,44.18405
G1058,28.715172087356333,77.40461910960128,0.51161397,-0.13767959,44.06784
G1059,28.71968127094899,77.40472232123629,0.33199415,-0.009146417,48.808655
G1060,28.724190451193834,77.40482555655399,0.3806676,-0.06831664,42.228973
G1061,28.72869962809048,77.40492881555865,0.4027244,-0.10143379,45.175293
G1062,28.73320880163852,77.40503209825461,0.6417646,-0.2574686,41.668427
G1063,28.737717971837583,77.40513540464615,0.5244313,-0.12030327,44.341278
G1064,28.742227138687262,77.40523873473761,0.4521738,-0.1178015,42.33493
G1065,28.746736302187173,77.40534208853329,0.36489853,-0.062051475,43.32614
G1066,28.75124546233692,77.40544546603749,0.3050467,0.018728556,46.96292
